scenario_key,block,search_width,n_cal,n_final,tau,rho,regime,signal,transfer,replications,selected_signal_candidate_mean,absolute_selection_optimism_mean,calibration_to_confirmation_gap_mean,sign_reversal_mean,naive_reject_mean,holm_reject_mean,external_reject_mean,cal_ci_cover_mean,final_ci_cover_mean,selected_signal_candidate_mcse,absolute_selection_optimism_mcse,calibration_to_confirmation_gap_mcse,sign_reversal_mcse,naive_reject_mcse,holm_reject_mcse,external_reject_mcse,cal_ci_cover_mcse,final_ci_cover_mcse
main_factorial__m72__c26__f16__tau0.015__rho0__attenuated_sparse_signal,main_factorial,72,26,16,0.015,0.0,attenuated_sparse_signal,0.005,0.5,2000,0.181,0.006791425518958835,0.007199880507783197,0.441,0.983,0.0745,0.057,0.171,0.953,0.008611421386109524,4.5457391344430754e-05,9.094353146875632e-05,0.011105006104468835,0.002891311093590581,0.005872999324070307,0.005185455088247906,0.008421101915945403,0.004733571944280115
main_factorial__m72__c26__f16__tau0.015__rho0__global_null,main_factorial,72,26,16,0.015,0.0,global_null,0.0,1.0,2000,0.013,0.007382863448079694,0.007438171997121642,0.5015,0.982,0.0535,0.0475,0.018,0.947,0.002533517190523349,3.2580407197739824e-05,9.160461894246431e-05,0.011183085696839281,0.0029736208922129413,0.005033044880624966,0.004757435401116648,0.0029736208922129426,0.005010793752192708
main_factorial__m72__c26__f16__tau0.015__rho0__stable_sparse_signal,main_factorial,72,26,16,0.015,0.0,stable_sparse_signal,0.005,1.0,2000,0.166,0.006847456467312575,0.006856672777470757,0.4415,0.988,0.0775,0.1045,0.152,0.947,0.008322056735816999,4.408458053437e-05,9.563236070422687e-05,0.01110632928897471,0.0024353573624298717,0.005980364318224212,0.006842023212531539,0.008029958911480175,0.005010793752192712
main_factorial__m72__c26__f16__tau0.03__rho0.5__attenuated_sparse_signal,main_factorial,72,26,16,0.03,0.5,attenuated_sparse_signal,0.005,0.5,2000,0.069,0.012516810290949774,0.012455354865996691,0.4835,0.7405,0.0385,0.057,0.2955,0.947,0.0056688241976526246,7.029058137908429e-05,0.00017897873304635896,0.011177045144808374,0.009804485655529549,0.0043032701596615475,0.005185455088247906,0.010204996128024085,0.005010793752192711
main_factorial__m72__c26__f16__tau0.03__rho0.5__global_null,main_factorial,72,26,16,0.03,0.5,global_null,0.0,1.0,2000,0.0065,0.012937546093799665,0.012840479896341555,0.498,0.749,0.0355,0.0625,0.251,0.936,0.0017973564602277868,6.838011660705673e-05,0.0001868967082559257,0.01118304655561858,0.00969775867206599,0.0041386518601604794,0.005414012445994442,0.009697758672065989,0.0054742107642787976
main_factorial__m72__c26__f16__tau0.03__rho0.5__stable_sparse_signal,main_factorial,72,26,16,0.03,0.5,stable_sparse_signal,0.005,1.0,2000,0.0655,0.012618012101557606,0.012580308203120701,0.464,0.7395,0.032,0.06,0.2945,0.949,0.005533550857500662,7.083346647867888e-05,0.00018289798330010587,0.011154111668059973,0.009816723436540059,0.003936463879414741,0.005311695308799887,0.010194942050924607,0.004920529016569401
main_factorial__m72__c26__f16__tau0.03__rho0__attenuated_sparse_signal,main_factorial,72,26,16,0.03,0.0,attenuated_sparse_signal,0.005,0.5,2000,0.0375,0.01465216320912282,0.01464176087169761,0.4925,0.976,0.057,0.044,0.043,0.958,0.004249223805764501,6.586405898971737e-05,0.00017618570024021337,0.011181877847485996,0.0034231358327511227,0.005185455088247911,0.004587212798707984,0.004537156917767805,0.004486431101891119
main_factorial__m72__c26__f16__tau0.03__rho0__global_null,main_factorial,72,26,16,0.03,0.0,global_null,0.0,1.0,2000,0.014,0.014715809900870375,0.014791052651436883,0.4985,0.9675,0.049,0.041,0.0325,0.954,0.00262782281106683,6.422645280053759e-05,0.00017980056509625175,0.01118308569683928,0.003966073608738865,0.0048281627538628875,0.004435012363830981,0.0039660736087388645,0.004685400355171812
main_factorial__m72__c26__f16__tau0.03__rho0__stable_sparse_signal,main_factorial,72,26,16,0.03,0.0,stable_sparse_signal,0.005,1.0,2000,0.052,0.014556375942466962,0.014838137022231555,0.49,0.977,0.056,0.037,0.0475,0.953,0.0049659168503995805,6.6820462294607e-05,0.00017713548540230985,0.011180899170152945,0.003352778036238029,0.005142491867889114,0.004221896754552753,0.004757435401116641,0.004733571944280113
sample_size_sensitivity__m36__c12__f12__tau0.015__rho0.5__global_null,sample_size_sensitivity,36,12,12,0.015,0.5,global_null,0.0,1.0,2000,0.0245,0.008321862075052847,0.008133913357100644,0.4915,0.579,0.042,0.0515,0.421,0.9615,0.003457723662536268,5.324113223243153e-05,0.00011128522646522623,0.011181519941139353,0.01104266590253992,0.004486431101891125,0.004943287675881631,0.011042665902539921,0.004303270159661548
sample_size_sensitivity__m36__c12__f12__tau0.015__rho0.5__stable_sparse_signal,sample_size_sensitivity,36,12,12,0.015,0.5,stable_sparse_signal,0.005,1.0,2000,0.1595,0.00798585789707633,0.007901076965501921,0.429,0.645,0.046,0.091,0.446,0.9575,0.008189225036799988,6.037145870459672e-05,0.00011444588623522355,0.011069813475627882,0.01070255915125878,0.004685400355171815,0.006432743590028097,0.01111772467283439,0.004511879156932665
sample_size_sensitivity__m36__c12__f16__tau0.015__rho0.5__global_null,sample_size_sensitivity,36,12,16,0.015,0.5,global_null,0.0,1.0,2000,0.0255,0.008285425099916423,0.008260903513349412,0.492,0.5685,0.042,0.053,0.4315,0.9415,0.00352577516941631,4.9447413088182966e-05,9.834432800954054e-05,0.011181704488029938,0.011077690761901066,0.004486431101891132,0.005010793752192708,0.011077690761901068,0.0052490619472114084
sample_size_sensitivity__m36__c12__f16__tau0.015__rho0.5__stable_sparse_signal,sample_size_sensitivity,36,12,16,0.015,0.5,stable_sparse_signal,0.005,1.0,2000,0.165,0.007895257270009249,0.00784395925975298,0.414,0.6395,0.0525,0.0935,0.4565,0.9595,0.008301925137008294,6.11929280474887e-05,0.0001008605041266003,0.011016473180681314,0.010739066010104636,0.0049884183022857334,0.006511534000335001,0.011140733053371453,0.004409035585862141
sample_size_sensitivity__m36__c12__f32__tau0.015__rho0.5__global_null,sample_size_sensitivity,36,12,32,0.015,0.5,global_null,0.0,1.0,2000,0.028,0.00827983703294883,0.00825955820625678,0.5015,0.5935,0.044,0.0525,0.4065,0.95,0.003689824847293141,5.215918909131798e-05,7.910056522912521e-05,0.011183085696839299,0.010985864536294122,0.004587212798707981,0.0049884183022857334,0.010985864536294122,0.004874615978769022
sample_size_sensitivity__m36__c12__f32__tau0.015__rho0.5__stable_sparse_signal,sample_size_sensitivity,36,12,32,0.015,0.5,stable_sparse_signal,0.005,1.0,2000,0.1595,0.007854777534159398,0.007880070895460846,0.423,0.6235,0.0415,0.131,0.467,0.951,0.00818922503679998,6.004372986383076e-05,8.416776332641627e-05,0.011049730687855574,0.010836631916589574,0.004460809838157883,0.0075463881418194635,0.01115875256825061,0.004828162753862892
sample_size_sensitivity__m36__c26__f12__tau0.015__rho0.5__global_null,sample_size_sensitivity,36,26,12,0.015,0.5,global_null,0.0,1.0,2000,0.031,0.005990984924468965,0.005983604858588709,0.496,0.5755,0.0355,0.0515,0.4245,0.95,0.0038764692062176046,3.4873494841403845e-05,0.00010398737371581907,0.011182778154985988,0.011054907529701244,0.004138651860160476,0.004943287675881629,0.011054907529701246,0.004874615978769012
sample_size_sensitivity__m36__c26__f12__tau0.015__rho0.5__stable_sparse_signal,sample_size_sensitivity,36,26,12,0.015,0.5,stable_sparse_signal,0.005,1.0,2000,0.3695,0.004822568150949716,0.00466443554256663,0.3595,0.712,0.078,0.153,0.5605,0.944,0.010795515113846433,5.481633841751313e-05,0.00011340032925769264,0.01073254251025204,0.01012814344511483,0.005997998665721509,0.008051578351912038,0.01110096800938425,0.005142491867889113
sample_size_sensitivity__m36__c26__f16__tau0.015__rho0.5__global_null,sample_size_sensitivity,36,26,16,0.015,0.5,global_null,0.0,1.0,2000,0.0245,0.005906190204732349,0.005884973106370759,0.496,0.5745,0.0355,0.0495,0.4255,0.951,0.0034577236625362687,3.3824321171711574e-05,9.191098178855617e-05,0.011182778154985983,0.011058300864463971,0.00413865186016048,0.004851457855290596,0.011058300864463974,0.004828162753862886
sample_size_sensitivity__m36__c26__f16__tau0.015__rho0.5__stable_sparse_signal,sample_size_sensitivity,36,26,16,0.015,0.5,stable_sparse_signal,0.005,1.0,2000,0.349,0.004900670944304886,0.004984520450809079,0.3625,0.708,0.0695,0.15,0.5425,0.9475,0.01066097219600926,5.520359279574105e-05,0.00010069063865914927,0.010751961557719097,0.01016954816375475,0.005687798389997896,0.007986356550109234,0.011142663706548742,0.004988418302285733
sample_size_sensitivity__m36__c26__f32__tau0.015__rho0.5__global_null,sample_size_sensitivity,36,26,32,0.015,0.5,global_null,0.0,1.0,2000,0.027,0.005891848965056996,0.005842087636182285,0.4985,0.5625,0.03,0.055,0.4375,0.942,0.0036251994476880506,3.353326755641589e-05,6.895166316303238e-05,0.011183085696839281,0.011095423796079503,0.003815400193861662,0.005099068566917398,0.011095423796079503,0.005227969570771855
sample_size_sensitivity__m36__c26__f32__tau0.015__rho0.5__stable_sparse_signal,sample_size_sensitivity,36,26,32,0.015,0.5,stable_sparse_signal,0.005,1.0,2000,0.3545,0.004902878121528944,0.005049996299015646,0.345,0.707,0.071,0.2295,0.5505,0.95,0.010699164035359386,5.449744607456478e-05,8.061542474361665e-05,0.010632216232329234,0.010179750176543056,0.005744214306500018,0.009405270041432946,0.011125950223877148,0.004874615978769019
sample_size_sensitivity__m36__c52__f12__tau0.015__rho0.5__global_null,sample_size_sensitivity,36,52,12,0.015,0.5,global_null,0.0,1.0,2000,0.0225,0.004259255684690345,0.004214377242504622,0.498,0.5605,0.0245,0.0405,0.4395,0.958,0.0033169829948454725,2.3215014529362204e-05,9.894310063075644e-05,0.011183046555618576,0.01110096800938426,0.003457723662536267,0.00440903558586214,0.011100968009384258,0.004486431101891125
sample_size_sensitivity__m36__c52__f12__tau0.015__rho0.5__stable_sparse_signal,sample_size_sensitivity,36,52,12,0.015,0.5,stable_sparse_signal,0.005,1.0,2000,0.6605,0.0023423091537041144,0.002354782630958946,0.253,0.8565,0.207,0.199,0.7135,0.951,0.010591315450948043,4.9975261403603084e-05,0.00010710092018134407,0.009723310721441175,0.007841212744764318,0.009061818707033339,0.008929690346526154,0.010112368911511349,0.004828162753862897
sample_size_sensitivity__m36__c52__f16__tau0.015__rho0.5__global_null,sample_size_sensitivity,36,52,16,0.015,0.5,global_null,0.0,1.0,2000,0.031,0.0042643583527402435,0.004499217124571903,0.5205,0.5625,0.036,0.05,0.4375,0.938,0.0038764692062176077,2.448136871477934e-05,8.897941760701408e-05,0.011173732641806641,0.0110954237960795,0.00416661497383309,0.004874615978769019,0.011095423796079492,0.005393750668425137
sample_size_sensitivity__m36__c52__f16__tau0.015__rho0.5__stable_sparse_signal,sample_size_sensitivity,36,52,16,0.015,0.5,stable_sparse_signal,0.005,1.0,2000,0.634,0.0024367818424460104,0.002370418096476867,0.234,0.857,0.2005,0.2505,0.6975,0.9535,0.010774044738166356,4.9554002854138347e-05,9.844499591446871e-05,0.009469257279042971,0.007829824587852419,0.008954885258058456,0.00969132787176035,0.010273735923456106,0.004709561018024001
sample_size_sensitivity__m36__c52__f32__tau0.015__rho0.5__global_null,sample_size_sensitivity,36,52,32,0.015,0.5,global_null,0.0,1.0,2000,0.0275,0.0042849821466772854,0.004216869072521949,0.495,0.5505,0.04,0.0535,0.4495,0.951,0.003657671975743735,2.4510316558485443e-05,6.523931324555764e-05,0.011182576850283944,0.011125950223877164,0.004382876316119501,0.005033044880624967,0.011125950223877166,0.0048281627538628935
sample_size_sensitivity__m36__c52__f32__tau0.015__rho0.5__stable_sparse_signal,sample_size_sensitivity,36,52,32,0.015,0.5,stable_sparse_signal,0.005,1.0,2000,0.6475,0.0023707778198139846,0.002291462398950319,0.19,0.8595,0.1915,0.4085,0.7105,0.948,0.01068545574518192,4.955383176784859e-05,7.785159514233674e-05,0.008774308761784238,0.007772392169726128,0.00880071595386706,0.01099428543180856,0.010143782487887887,0.004965916850399584
